name,latitude,longitude,country,population,is_capital
New York,40.6943,-73.9249,US,18713220,False
Los Angeles,34.1139,-118.407,US,12750807,False
Chicago,41.8373,-87.6862,US,8604203,False
Miami,25.7839,-80.2102,US,6445545,False
Dallas,32.7936,-96.7662,US,5743938,False
Philadelphia,40.0077,-75.1339,US,5649300,False
Houston,29.7863,-95.3889,US,5464251,False
Atlanta,33.7627,-84.4224,US,5449398,False
Washington,38.9047,-77.0163,US,5379184,True
Boston,42.3188,-71.0846,US,4688346,False
Phoenix,33.5722,-112.089,US,4219697,False
Seattle,47.6211,-122.324,US,3789215,False
San Francisco,37.7562,-122.443,US,3592294,False
Detroit,42.3834,-83.1024,US,3506126,False
San Diego,32.8312,-117.122,US,3220118,False
Minneapolis,44.9635,-93.2678,US,2977172,False
Tampa,27.9942,-82.4451,US,2908063,False
Denver,39.7621,-104.876,US,2876625,False
Brooklyn,40.6501,-73.9496,US,2559903,False
Queens,40.7498,-73.7976,US,2230722,False
Riverside,33.9381,-117.395,US,2107852,False
Baltimore,39.3051,-76.6144,US,2106068,False
Las Vegas,36.2333,-115.265,US,2104198,False
Portland,45.5372,-122.65,US,2074775,False
San Antonio,29.4658,-98.5253,US,2049293,False
St. Louis,38.6358,-90.2451,US,2024074,False
Sacramento,38.5667,-121.468,US,1898019,False
Orlando,28.4772,-81.3369,US,1822394,False
San Jose,37.3019,-121.849,US,1798103,False
Cleveland,41.4767,-81.6804,US,1710093,False
Istanbul,41.01,28.9603,TR,15154000,False
Ankara,39.93,32.85,TR,5503985,True
Izmir,38.4127,27.1384,TR,4320519,False
Bursa,40.1833,29.0667,TR,2901396,False
Antalya,36.9081,30.6956,TR,2426356,False
Konya,37.8714,32.4847,TR,2232374,False
Adana,37.0,35.325,TR,2220125,False
Gaziantep,37.0667,37.3833,TR,2028563,False
Sanliurfa,37.1583,38.7917,TR,1985753,False
Mersin,36.8,34.6167,TR,1814468,False
Diyarbakir,37.9108,40.2367,TR,1732396,False
Kayseri,38.7333,35.4833,TR,1389680,False
Samsun,41.2867,36.33,TR,1335716,False
Tekirdag,40.9833,27.5167,TR,1029927,False
Denizli,37.7731,29.0878,TR,963464,False
Eskisehir,39.7767,30.5206,TR,871187,False
Trabzon,41.005,39.7225,TR,807903,False
Erzurum,39.9097,41.2756,TR,767848,False
Malatya,38.3554,38.3337,TR,461574,False
Batman,37.8833,41.1333,TR,447106,False
Kahramanmaras,37.5875,36.9453,TR,443575,False
Elazig,38.6667,39.2167,TR,421726,False
Hatay,36.2,36.15,TR,377793,False
Sivas,39.75,37.0167,TR,377561,False
Kocaeli,40.7656,29.9406,TR,363416,False
Van,38.5019,43.4167,TR,353419,False
Tarsus,36.9167,34.9,TR,339676,False
Balikesir,39.6511,27.8842,TR,331788,False
Alanya,36.5436,31.9997,TR,312319,False
Adiyaman,37.7644,38.2763,TR,304615,False
Berlin,52.5167,13.3833,DE,3644826,True
Hamburg,53.55,10.0,DE,1841179,False
Munich,48.1372,11.5755,DE,1471508,False
Cologne,50.9422,6.9578,DE,1085664,False
Frankfurt,50.1136,8.6797,DE,753056,False
Bremen,53.1153,8.7975,DE,724909,False
Stuttgart,48.7761,9.1775,DE,634830,False
Dusseldorf,51.2311,6.7724,DE,619294,False
Dortmund,51.5139,7.4653,DE,587010,False
Essen,51.4508,7.0131,DE,583109,False
Dresden,51.0493,13.7384,DE,555805,False
Leipzig,51.35,12.3833,DE,542529,False
Hannover,52.3744,9.7386,DE,538068,False
Nuremberg,49.4528,11.0778,DE,518365,False
Duisburg,51.4322,6.7611,DE,498590,False
Bochum,51.4833,7.2167,DE,364628,False
Wuppertal,51.2667,7.1833,DE,354382,False
Bielefeld,52.0167,8.5333,DE,333786,False
Bonn,50.7339,7.0997,DE,327258,False
Munster,51.9625,7.6256,DE,314319,False
Karlsruhe,49.0167,8.4,DE,313092,False
Mannheim,49.4878,8.4661,DE,309370,False
Augsburg,48.3717,10.8983,DE,295135,False
Wiesbaden,50.0825,8.24,DE,278342,False
Gelsenkirchen,51.5167,7.1,DE,260654,False
Monchengladbach,51.2,6.4333,DE,261454,False
Kiel,54.3233,10.1394,DE,247548,False
Braunschweig,52.2692,10.5211,DE,248292,False
Aachen,50.7762,6.0838,DE,247380,False
Chemnitz,50.8333,12.9167,DE,245403,False
Barcelona,41.3825,2.1769,ES,4588000,False
Madrid,40.4189,-3.6919,ES,3266126,True
Sevilla,37.3828,-5.9731,ES,1212045,False
Valencia,39.4667,-0.375,ES,794288,False
Zaragoza,41.6483,-0.883,ES,649404,False
Malaga,36.7167,-4.4167,ES,574654,False
Palma,39.5667,2.6497,ES,416065,False
Murcia,37.9866,-1.1415,ES,406807,False
Las Palmas,28.1272,-15.4314,ES,379925,False
A Coruna,43.3713,-8.4188,ES,370610,False
Donostia,43.3204,-1.98,ES,357468,False
Bilbao,43.2622,-2.9533,ES,346843,False
Alicante,38.3453,-0.4831,ES,334887,False
Cordoba,37.8833,-4.7667,ES,325701,False
Valladolid,41.652,-4.7286,ES,298412,False
Vigo,42.2358,-8.7267,ES,295364,False
Gijon,43.5293,-5.6773,ES,271780,False
Vitoria-Gasteiz,42.8467,-2.6731,ES,251774,False
Granada,37.1781,-3.6008,ES,232462,False
Badalona,41.4333,2.2333,ES,220440,False
Sabadell,41.5483,2.1075,ES,213644,False
Cartagena,37.6,-0.9819,ES,214802,False
Jerez De La Frontera,36.7,-6.1167,ES,212749,False
Pamplona,42.8167,-1.65,ES,201653,False
Santa Cruz,28.4667,-16.25,ES,207312,False
Almeria,36.8333,-2.45,ES,198533,False
Oviedo,43.3634,-5.8423,ES,189434,False
Mataro,41.54,2.45,ES,183293,False
Santander,43.4667,-3.8,ES,172539,False
Albacete,38.9956,-1.8558,ES,173329,False
Tokyo,35.6897,139.692,JP,37977000,True
Osaka,34.6936,135.502,JP,14977000,False
Nagoya,35.1167,136.933,JP,9113000,False
Yokohama,35.4333,139.633,JP,3748781,False
Fukuoka,33.5903,130.402,JP,2128000,False
Sapporo,43.0621,141.354,JP,1958756,False
Kyoto,35.0111,135.767,JP,1805000,False
Kobe,34.6913,135.183,JP,1522944,False
Kawanakajima,35.53,139.705,JP,1437266,False
Saitama,35.8617,139.645,JP,1307931,False
Hiroshima,34.3853,132.455,JP,1306589,False
Sendai,38.2683,140.869,JP,1058070,False
Kitaku,33.8704,130.82,JP,997536,False
Chiba,35.6,140.1,JP,980203,False
Niigata,37.9161,139.036,JP,796500,False
Hamamatsu,34.7167,137.733,JP,791770,False
Kumamoto,32.8031,130.708,JP,739393,False
Sagamihara,35.5667,139.367,JP,722828,False
Okayama,34.65,133.917,JP,720865,False
Shizuoka,34.9756,138.383,JP,691185,False
Honcho,35.6947,139.982,JP,639107,False
Kawaguchi,35.8078,139.724,JP,592373,False
Kagoshima,31.58,130.528,JP,595319,False
Hachioji,35.6667,139.317,JP,577560,False
Utsunomiya,36.55,139.883,JP,519255,False
Matsuyama,33.8333,132.767,JP,509139,False
Ichikawa,35.7219,139.931,JP,495592,False
Higashi-Osaka,34.6794,135.601,JP,494640,False
Matsudo,35.7878,139.903,JP,492671,False
Nishinomiya-Hama,34.7333,135.333,JP,487413,False
London,51.5072,-0.1275,GB,10979000,True
Birmingham,52.48,-1.9025,GB,2897303,False
Manchester,53.4794,-2.2453,GB,2705000,False
Leeds,53.7997,-1.5492,GB,1901934,False
Newcastle,55.0077,-1.6578,GB,1650000,False
Birstall,52.6736,-1.12,GB,1424216,False
Glasgow,55.8609,-4.2514,GB,985290,False
Liverpool,53.4,-2.9833,GB,864122,False
Southampton,50.9,-1.4,GB,855569,False
Portsmouth,50.8058,-1.0872,GB,855679,False
Nottingham,52.95,-1.15,GB,768638,False
Bristol,51.45,-2.5833,GB,724000,False
Sheffield,53.3833,-1.4667,GB,685368,False
Kingston Upon Hull,53.7444,-0.3325,GB,573300,False
Leicester,52.6333,-1.1333,GB,508916,False
Edinburgh,55.953,-3.189,GB,488050,False
Caerdydd,51.4833,-3.1833,GB,479000,False
Stoke-On-Trent,53.0,-2.1833,GB,372775,False
Coventry,52.4081,-1.5106,GB,362690,False
Reading,51.4542,-0.9731,GB,337108,False
Belfast,54.5964,-5.93,GB,333871,False
Derby,52.9167,-1.4667,GB,270500,False
Plymouth,50.3714,-4.1422,GB,267918,False
Wolverhampton,52.5833,-2.1333,GB,254406,False
Abertawe,51.6167,-3.95,GB,245500,False
Milton Keynes,52.04,-0.76,GB,229941,False
Islington,51.544,-0.1027,GB,206125,False
Aberdeen,57.15,-2.11,GB,214610,False
Luton,51.8783,-0.4147,GB,213052,False
Norwich,52.63,1.297,GB,213166,False
Moscow,55.7558,37.6178,RU,17125000,True
Saint Petersburg,59.95,30.3167,RU,5351935,False
Novosibirsk,55.0333,82.9167,RU,1602915,False
Yekaterinburg,56.8356,60.6128,RU,1468833,False
Nizhniy Novgorod,56.3269,44.0075,RU,1264075,False
Kazan,55.7908,49.1144,RU,1243500,False
Chelyabinsk,55.15,61.4,RU,1202371,False
Omsk,54.9667,73.3833,RU,1178391,False
Samara,53.1833,50.1167,RU,1169719,False
Rostov,47.2333,39.7167,RU,1125299,False
Ufa,54.7333,55.9667,RU,1115560,False
Krasnoyarsk,56.0167,92.8667,RU,1083865,False
Voronezh,51.6717,39.2106,RU,1047549,False
Perm,58.0139,56.2489,RU,1048005,False
Volgograd,48.7,44.4833,RU,1015586,False
Krasnodar,45.0333,38.9833,RU,881476,False
Saratov,51.5333,46.0,RU,845300,False
Tyumen,57.15,65.5333,RU,744554,False
Tolyatti,53.5167,49.4167,RU,707408,False
Izhevsk,56.85,53.2167,RU,646277,False
